Cell	UMAP_1	UMAP_2	Celltype (malignancy)	Celltype (major-lineage)	Celltype (minor-lineage)	Cluster	Sample	Patient	Source	Stage
P3_Tumor_233	4.18610711908232	10.1114161066561	Immune cells	B	B	13	P3_Tumor	P3	Tumor	Primary
P3_Normal_174	4.25959463930022	10.6732933573275	Immune cells	B	B	13	P3_Normal	P3	NAT	Primary
P3_Normal_267	4.14855857705962	10.9403030924349	Immune cells	B	B	13	P3_Normal	P3	NAT	Primary
P3_Normal_291	3.93135138368498	10.8868620447664	Immune cells	B	B	13	P3_Normal	P3	NAT	Primary
P3_Normal_300	3.9462813935269	10.6333601526766	Immune cells	B	B	13	P3_Normal	P3	NAT	Primary
P3_Normal_332	4.03966971254241	10.4060614161043	Immune cells	B	B	13	P3_Normal	P3	NAT	Primary
P3_Normal_365	4.22272439813506	10.9272148661165	Immune cells	B	B	13	P3_Normal	P3	NAT	Primary
P3_Normal_368	4.20930024003874	10.7442753366976	Immune cells	B	B	13	P3_Normal	P3	NAT	Primary
P3_Normal_621	4.15807672357451	10.7482025675325	Immune cells	B	B	13	P3_Normal	P3	NAT	Primary
P2_Tumor_116	-1.73961834097017	-3.40629577116679	Immune cells	B	B	13	P2_Tumor	P2	Tumor	Primary
P2_Tumor_330	4.15632029390227	10.8328440241366	Immune cells	B	B	13	P2_Tumor	P2	Tumor	Primary
P2_Tumor_365	4.23148723459136	10.8652603678255	Immune cells	B	B	13	P2_Tumor	P2	Tumor	Primary
P2_Tumor_394	4.36375590181243	10.4764444880037	Immune cells	B	B	13	P2_Tumor	P2	Tumor	Primary
P2_Tumor_474	4.04261489725005	10.4425594858675	Immune cells	B	B	13	P2_Tumor	P2	Tumor	Primary
P2_Tumor_568	4.14138933038603	10.8460400156527	Immune cells	B	B	13	P2_Tumor	P2	Tumor	Primary
P2_Tumor_623	4.14678903436553	10.0939133219271	Immune cells	B	B	13	P2_Tumor	P2	Tumor	Primary
P2_Tumor_839	4.07809849595915	10.9740269236116	Immune cells	B	B	13	P2_Tumor	P2	Tumor	Primary
P2_Tumor_1099	4.04514332628142	10.7584240488558	Immune cells	B	B	13	P2_Tumor	P2	Tumor	Primary
P2_Normal_952	3.96769400453459	9.76120019479085	Immune cells	B	B	13	P2_Normal	P2	NAT	Primary
P2_Normal_1028	4.16427870607268	10.6844713739901	Immune cells	B	B	13	P2_Normal	P2	NAT	Primary
