,feat_sel_type,num_features,fold,metric,score
0,seurat_v3,20,0,f1,0.0556309362279511
1,seurat_v3,50,0,f1,0.0946065428824049
2,seurat_v3,100,0,f1,0.1630644125829231
3,seurat_v3,200,0,f1,0.9114303560274828
4,seurat_v3,300,0,f1,0.8017157880171579
5,seurat_v3,400,0,f1,0.7973495306460519
6,seurat_v3,500,0,f1,0.8758052048441124
7,seurat_v3,1000,0,f1,0.946949602122016
8,seurat_v3,2000,0,f1,0.9560426398371062
9,seurat_v3,5000,0,f1,0.9605263157894736
10,pearson_residuals,20,0,f1,0.2433672451625773
11,pearson_residuals,50,0,f1,0.4719378750441228
12,pearson_residuals,100,0,f1,0.646433041301627
13,pearson_residuals,200,0,f1,0.9579669998795616
14,pearson_residuals,300,0,f1,0.9593476436023504
15,pearson_residuals,400,0,f1,0.9618101280976894
16,pearson_residuals,500,0,f1,0.962386200287494
17,pearson_residuals,1000,0,f1,0.9618649133293484
18,pearson_residuals,2000,0,f1,0.9633257675307608
19,pearson_residuals,5000,0,f1,0.9638036076932266
20,seurat,20,0,f1,0.6927747419550698
21,seurat,50,0,f1,0.692786636294609
22,seurat,100,0,f1,0.8941877794336811
23,seurat,200,0,f1,0.8406262545162585
24,seurat,300,0,f1,0.8466257668711656
25,seurat,400,0,f1,0.902129817444219
26,seurat,500,0,f1,0.8858095971259944
27,seurat,1000,0,f1,0.9542076240709662
28,seurat,2000,0,f1,0.9616490891658676
29,seurat,5000,0,f1,0.9618831401601148
30,cell_ranger,20,0,f1,0.0046511627906976
31,cell_ranger,50,0,f1,0.2443089430894309
32,cell_ranger,100,0,f1,0.3482758620689655
33,cell_ranger,200,0,f1,0.926534140017286
34,cell_ranger,300,0,f1,0.9470110343155088
35,cell_ranger,400,0,f1,0.9556437071763432
36,cell_ranger,500,0,f1,0.9576149425287356
37,cell_ranger,1000,0,f1,0.9620615604867572
38,cell_ranger,2000,0,f1,0.9620464009518144
39,cell_ranger,5000,0,f1,0.9631566436890896
40,random_all_genes,20,0,f1,0.0754716981132075
41,random_all_genes,50,0,f1,0.5670037926675094
42,random_all_genes,100,0,f1,0.8457419683834778
43,random_all_genes,200,0,f1,0.8981549815498155
44,random_all_genes,300,0,f1,0.871656378600823
45,random_all_genes,400,0,f1,0.8649138712601995
46,random_all_genes,500,0,f1,0.9391621129326048
47,random_all_genes,1000,0,f1,0.951242829827916
48,random_all_genes,2000,0,f1,0.9537730243612595
49,random_all_genes,5000,0,f1,0.9565423889812396
50,seurat_v3,20,1,f1,0.2603240982749608
51,seurat_v3,50,1,f1,0.5728960885025681
52,seurat_v3,100,1,f1,0.6289833080424886
53,seurat_v3,200,1,f1,0.8807801195344448
54,seurat_v3,300,1,f1,0.8742671009771987
55,seurat_v3,400,1,f1,0.8778677462887989
56,seurat_v3,500,1,f1,0.8851578240429818
57,seurat_v3,1000,1,f1,0.9010554089709762
58,seurat_v3,2000,1,f1,0.8738191632928475
59,seurat_v3,5000,1,f1,0.9453050901043312
60,pearson_residuals,20,1,f1,0.8076644974692697
61,pearson_residuals,50,1,f1,0.9112850619699936
62,pearson_residuals,100,1,f1,0.9323934636334508
63,pearson_residuals,200,1,f1,0.9536258948023654
64,pearson_residuals,300,1,f1,0.9592592592592591
65,pearson_residuals,400,1,f1,0.9583592293349906
66,pearson_residuals,500,1,f1,0.9413249211356468
67,pearson_residuals,1000,1,f1,0.9566302652106085
68,pearson_residuals,2000,1,f1,0.9660912453760788
69,pearson_residuals,5000,1,f1,0.9588271990018716
70,seurat,20,1,f1,0.0084745762711864
71,seurat,50,1,f1,0.0024390243902439
72,seurat,100,1,f1,0.1220338983050847
73,seurat,200,1,f1,0.8102849200833913
74,seurat,300,1,f1,0.7557168784029038
75,seurat,400,1,f1,0.9261874197689344
76,seurat,500,1,f1,0.9224904701397711
77,seurat,1000,1,f1,0.9312339331619536
78,seurat,2000,1,f1,0.9603960396039604
79,seurat,5000,1,f1,0.9399428026692088
80,cell_ranger,20,1,f1,0.0156532209512341
81,cell_ranger,50,1,f1,0.1955215729109776
82,cell_ranger,100,1,f1,0.5924132364810331
83,cell_ranger,200,1,f1,0.7777777777777778
84,cell_ranger,300,1,f1,0.7636363636363637
